,user_homepage_url,user_name,user_image_url,user_verify,user_address,user_job,user_fans_num,user_follow_num,user_profile_num,user_detail,user_school,user_tags,user_work
0,//weibo.com/zhangjiajia,"https://tva2.sinaimg.cn/crop.11.21.304.304.180/475e4cc5gw1e9v75ejvx0j208w09d0td.jpg?KID=imgbed,tva&Expires=1573709900&ssig=6ikUgvNCO6",张嘉佳,icon-vip icon-vip-y,江苏南京,作家张嘉佳 头条文章作者 微博签约自媒体,746,1114万,1140,简介：花开两朵，天各一方。,正当妙龄咯咯咯,"('',)",
1,//weibo.com/npss,"https://tva3.sinaimg.cn/crop.0.0.512.512.180/49c8645ejw8ej7q92t8ruj20e80e8q3x.jpg?KID=imgbed,tva&Expires=1573709900&ssig=iZmn1MIsXj",南派三叔,icon-vip icon-vip-y,浙江杭州,《盗墓笔记》《沙海》《勇者大冒险》等书作者 微博签约自媒体,494,1243万,1475,简介：找我合作：forestexport@126.com,南派三叔 盗墓笔记 作家 出版人 超好看 漫工厂 惊叹号 沙海,"('',)",
2,//weibo.com/panada,"https://tvax1.sinaimg.cn/crop.0.0.178.178.180/5d379f5fly8g23gnpxskuj204y04ygmu.jpg?KID=imgbed,tva&Expires=1573709900&ssig=6KLMRodjOU",天才小熊猫,icon-vip icon-vip-y,北京朝阳区,微博爆红gif动画《右下角的战争》作者天才小熊猫 头条文章作者 微博签约自媒体,999,757万,2163,简介：加关注不是导致便秘的主要原因........ 公众号：tcxpanda,熊猫 节操的 没有 一个 是 我,"('',)",
3,//weibo.com/mlsevni,"https://tvax4.sinaimg.cn/crop.0.0.1293.1293.180/4b884e9ely8fqo38jchu1j20zx0zxn5e.jpg?KID=imgbed,tva&Expires=1573709906&ssig=60uDZgVk1B",眠狼,icon-vip icon-vip-g,浙江杭州,插画作者，作品：《盗墓笔记少年篇》、《长安幻夜》 微博签约自媒体,197,305万,382,简介：| The Great RDJ | Team Iron Man | You Know Who I Am |,华福 盾铁,"('',)",复仇者联盟
4,//weibo.com/gogoboi,"https://tvax4.sinaimg.cn/crop.0.0.1242.1242.180/65b52e49ly8fkb6f8jd80j20yi0yitfw.jpg?KID=imgbed,tva&Expires=1573709900&ssig=DCTGm6dsiC",gogoboi,icon-vip icon-vip-g,上海,时尚达人 时装专栏作者 微博签约自媒体,517,975万,8976,简介：工作联系：yes@doperinc.com | 冒着脑残的炮火前进，前进，前进进！,时尚 fashion 时尚博主 时装 明星时尚 明星,"('',)",doper communications
5,//weibo.com/u/1749224837,"https://tva3.sinaimg.cn/crop.262.0.515.515.180/68430d85jw8fcra7k1r8zj20m80godlk.jpg?KID=imgbed,tva&Expires=1573709906&ssig=xDodPeWLoo",IT工程师,icon-vip icon-vip-g,北京东城区,微博知名科技博主 头条文章作者 微博签约自媒体,383,177万,2万,简介：专注数码、科技、生活，移动互联网。,黑客 攻击 漏洞 Hacker 云安全 安全 技术宅 骇客 互联网 病毒,"('',)",
6,//weibo.com/guosite,"https://tva2.sinaimg.cn/crop.0.0.180.180.180/71b2cbb3jw8eznoba683jj20500500sy.jpg?KID=imgbed,tva&Expires=1573709900&ssig=LWaxzemtPm",郭斯特,icon-vip icon-vip-g,其他,漫画作者、漫画监制，代表作《给我来个小和尚》 微博签约自媒体,839,1619万,3486,简介：我是平板！合作联系QQ63068233，周边在这儿http://t.cn/RzAk11S,平,"('',)",
7,//weibo.com/xiaotudachengzi,"https://tvax3.sinaimg.cn/crop.0.2.1242.1242.180/bf836b83ly8fi6tahbpnxj20yi0ym10m.jpg?KID=imgbed,tva&Expires=1573709906&ssig=uZQ0KGKGi0",小土大橙子,icon-vip icon-vip-g,其他,《婴幼儿睡眠全书》作者 微博2018十大影响力母婴育儿大V 微博签约自媒体,5129,222万,1万,简介：《婴幼儿睡眠全书》作者，公众号 小土大橙子，巨蟹座理工女，两个男孩的妈妈，和你一起做有力量的父母！,睡眠 亲子,上海交通大学,
8,//weibo.com/u/5925185843,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/006sZtvBly8fvpiywsdj7j30e80e874b.jpg?KID=imgbed,tva&Expires=1573709912&ssig=rPZuGx4BYl",音乐点,icon-vip icon-vip-g,北京东城区,微博2019十大影响力音乐大V 知名音乐博主 头条文章作者 微博签约自媒体,468,782万,1596,简介：让我们音乐点。合作Q： 341001,音乐控爱音乐纯音乐流行音乐民谣摇滚音乐排行榜歌曲MV音乐,浙江音乐学院,越点音乐
9,//weibo.com/u/3900215081,"https://tva2.sinaimg.cn/crop.9.0.502.502.180/e8788f29jw8f53stq3pzuj20e80e8753.jpg?KID=imgbed,tva&Expires=1573709900&ssig=Vp0q3VVmyM",不二大叔说,icon-vip icon-vip-g,北京东城区,微博2018十大影响力情感大V 知名情感博主 头条文章作者 微博签约自媒体,291,838万,3万,简介：让思考更有效率，让时间更有价值。商务联系 vx：mmd1990055,美食 八卦杂谈 情感生活 写作 读物,"('',)",
